n,time
20,9.1574e-06
30,1.65599e-05
40,2.57076e-05
50,3.06616e-05
60,4.24066e-05
70,4.5744e-05
80,5.34168e-05
90,6.21285e-05
100,6.87451e-05
200,0.000172371
300,0.000225551
400,0.000313789
500,0.000461931
600,0.000501703
700,0.000585917
800,0.000696734
900,0.000821527
1000,0.000912749
2000,0.00180329
3000,0.00292489
4000,0.00402976
5000,0.00513744
6000,0.00608677
7000,0.00737549
8000,0.0083844
9000,0.00969454
10000,0.0108776
20000,0.0233507
30000,0.0362842
40000,0.049546
50000,0.0617489
60000,0.0733567
70000,0.0863999
80000,0.100937
90000,0.114234
100000,0.128702
200000,0.271701
300000,0.410969
400000,0.562561
500000,0.709622
600000,0.871706
700000,1.02304
800000,1.17041
900000,1.32129
1000000,1.48081
