n,time
20,8.8834e-06
30,1.52654e-05
40,1.79686e-05
50,2.28288e-05
60,2.97982e-05
70,3.1518e-05
80,3.51181e-05
90,4.03242e-05
100,4.19448e-05
200,9.00128e-05
300,0.000125614
400,0.000179023
500,0.000207105
600,0.000254939
700,0.000305741
800,0.000323651
900,0.000378669
1000,0.000408745
2000,0.000862676
3000,0.00126103
4000,0.00171688
5000,0.00215144
6000,0.00264549
7000,0.00307719
8000,0.00359629
9000,0.00391339
10000,0.00434242
20000,0.00873726
30000,0.0133614
40000,0.0181859
50000,0.0229938
60000,0.0285623
70000,0.0336525
80000,0.0391928
90000,0.0448736
100000,0.0511456
200000,0.115073
300000,0.184187
400000,0.25449
500000,0.325731
600000,0.398394
700000,0.397841
800000,0.45684
900000,0.515666
1000000,0.576351
