n,time
20,6.5533e-06
30,1.0487e-05
40,1.4877e-05
50,2.0232e-05
60,2.22244e-05
70,2.1689e-05
80,3.78846e-05
90,4.01778e-05
100,4.39949e-05
200,9.56597e-05
300,0.000166926
400,0.000205311
500,0.000286503
600,0.000339552
700,0.000441516
800,0.000468869
900,0.000537303
1000,0.00057903
2000,0.001272
3000,0.00208502
4000,0.00273132
5000,0.00376161
6000,0.00445563
7000,0.00508716
8000,0.00582259
9000,0.00608758
10000,0.00790242
20000,0.0168175
30000,0.0245652
40000,0.0355024
50000,0.0439396
60000,0.0518115
70000,0.056622
80000,0.0741421
90000,0.0835421
100000,0.0921527
200000,0.194923
300000,0.284578
400000,0.411011
500000,0.511192
600000,0.600401
700000,0.757464
800000,0.861573
900000,0.966182
1000000,1.0782
