n,time
20,8.7833e-06
30,1.31982e-05
40,1.79989e-05
50,2.38426e-05
60,2.92016e-05
70,3.14296e-05
80,3.32192e-05
90,3.78884e-05
100,4.24693e-05
200,8.35009e-05
300,0.000115656
400,0.000171358
500,0.000235583
600,0.000226663
700,0.000271102
800,0.000317548
900,0.000351055
1000,0.000388747
2000,0.000852079
3000,0.00127192
4000,0.00168851
5000,0.00213877
6000,0.00257733
7000,0.00301342
8000,0.00347394
9000,0.00389382
10000,0.004285
20000,0.00868777
30000,0.0128514
40000,0.0170347
50000,0.0213293
60000,0.0255853
70000,0.0298948
80000,0.0340991
90000,0.0384373
100000,0.0427403
200000,0.0860519
300000,0.128739
400000,0.174883
500000,0.21774
600000,0.262654
700000,0.292116
800000,0.340445
900000,0.382557
1000000,0.42928
