n,time
20,7.6023e-06
30,1.0945e-05
40,1.84959e-05
50,1.96289e-05
60,2.33567e-05
70,3.40244e-05
80,3.4831e-05
90,4.30942e-05
100,4.54383e-05
200,0.000100827
300,0.000154919
400,0.000205676
500,0.000251127
600,0.000314726
700,0.000385066
800,0.000448432
900,0.000466077
1000,0.000532542
2000,0.00110456
3000,0.00179479
4000,0.00239876
5000,0.00319226
6000,0.00384228
7000,0.0043833
8000,0.00499844
9000,0.00606181
10000,0.00666841
20000,0.0135939
30000,0.0204288
40000,0.0288159
50000,0.0358571
60000,0.0429474
70000,0.0528936
80000,0.0599009
90000,0.0673325
100000,0.0745253
200000,0.155733
300000,0.245741
400000,0.326045
500000,0.405598
600000,0.512292
700000,0.594834
800000,0.690129
900000,0.770887
1000000,0.865282
