n,time
20,1.00251e-05
30,1.33336e-05
40,1.77334e-05
50,2.17336e-05
60,2.80773e-05
70,3.00172e-05
80,3.6571e-05
90,3.68862e-05
100,4.02419e-05
200,8.07568e-05
300,0.0001434
400,0.000164881
500,0.000206149
600,0.000229778
700,0.000303478
800,0.000315826
900,0.000365496
1000,0.000391688
2000,0.000793444
3000,0.00118586
4000,0.00156366
5000,0.00195285
6000,0.00232836
7000,0.00272664
8000,0.00310219
9000,0.00348656
10000,0.00384386
20000,0.00768909
30000,0.0114098
40000,0.0152248
50000,0.0189999
60000,0.0227761
70000,0.0267254
80000,0.0306522
90000,0.0344439
100000,0.0423788
200000,0.0864867
300000,0.122254
400000,0.159515
500000,0.193554
600000,0.234939
700000,0.271114
800000,0.310756
900000,0.347158
1000000,0.391052
